Song File,Song Duration,Valence Score,Arousal Score,Condition
Clips/NV_LA_5.wav,60.0,60.0,61.0,NV_LA
Clips/PV_LA_6.wav,58.0,22.0,12.0,PV_LA
Clips/PV_LA_5.wav,59.0,87.0,88.0,PV_LA
Clips/PV_LA_7.wav,54.0,-21.0,38.0,PV_LA
Clips/NV_LA_7.wav,57.0,16.0,-18.0,NV_LA
Clips/PV_HA_8.wav,45.0,88.0,88.0,PV_HA
Clips/NV_HA_6.wav,50.0,41.0,17.0,NV_HA
Clips/PV_LA_4.wav,57.0,50.0,16.0,PV_LA
Clips/PV_HA_7.wav,54.0,-48.0,21.0,PV_HA
Clips/PV_HA_3.wav,56.0,80.0,56.0,PV_HA
Clips/NV_HA_2.wav,51.0,87.0,28.0,NV_HA
Clips/NV_HA_3.wav,48.0,-93.0,-52.0,NV_HA
Clips/NV_LA_2.wav,51.0,99.0,100.0,NV_LA
Clips/NV_HA_7.wav,48.0,-57.0,0.0,NV_HA
Clips/PV_HA_4.wav,48.0,-49.0,46.0,PV_HA
Clips/NV_HA_4.wav,45.0,0,0,NV_HA
Clips/PV_HA_2.wav,44.0,44.0,24.0,PV_HA
Clips/NV_HA_1.wav,46.0,-45.0,-56.0,NV_HA
Clips/PV_LA_3.wav,60.0,0,-53.0,PV_LA
Clips/NV_LA_1.wav,62.0,87.0,-51.0,NV_LA
Clips/NV_HA_5.wav,56.0,0,10.0,NV_HA
Clips/NV_LA_6.wav,60.0,0,0,NV_LA
Clips/PV_LA_1.wav,55.0,15.0,15.0,PV_LA
Clips/NV_LA_3.wav,50.0,38.0,0,NV_LA
Clips/PV_LA_2.wav,50.0,36.0,0,PV_LA
Clips/PV_HA_6.wav,47.0,26.0,18.0,PV_HA
Clips/PV_HA_1.wav,49.0,76.0,45.0,PV_HA
Clips/NV_LA_4.wav,65.0,17.0,0,NV_LA
