Song File,Song Duration,Valence Score,Arousal Score,Condition
Clips/NV_LA_7.wav,57.0,47.0,16.0,NV_LA
Clips/PV_LA_6.wav,58.0,100.0,89.0,PV_LA
Clips/NV_HA_4.wav,45.0,-69.0,100.0,NV_HA
Clips/NV_LA_1.wav,62.0,50.0,-82.0,NV_LA
Clips/NV_LA_2.wav,51.0,72.0,88.0,NV_LA
Clips/PV_LA_5.wav,59.0,15.0,41.0,PV_LA
Clips/PV_LA_2.wav,50.0,-16.0,-49.0,PV_LA
Clips/NV_LA_6.wav,60.0,-84.0,-100.0,NV_LA
Clips/NV_HA_7.wav,48.0,-100.0,64.0,NV_HA
Clips/PV_HA_1.wav,49.0,100.0,100.0,PV_HA
Clips/NV_HA_3.wav,48.0,-100.0,19.0,NV_HA
Clips/NV_HA_2.wav,51.0,41.0,44.0,NV_HA
Clips/PV_HA_6.wav,47.0,-30.0,43.0,PV_HA
Clips/PV_HA_7.wav,54.0,60.0,30.0,PV_HA
Clips/NV_HA_5.wav,56.0,-64.0,-20.0,NV_HA
Clips/NV_LA_4.wav,65.0,11.0,-70.0,NV_LA
Clips/PV_LA_3.wav,60.0,-85.0,21.0,PV_LA
Clips/PV_HA_2.wav,44.0,55.0,100.0,PV_HA
Clips/PV_LA_7.wav,54.0,-21.0,51.0,PV_LA
Clips/PV_HA_8.wav,45.0,69.0,85.0,PV_HA
Clips/PV_HA_4.wav,48.0,54.0,100.0,PV_HA
Clips/NV_HA_1.wav,46.0,-69.0,-27.0,NV_HA
Clips/NV_LA_5.wav,60.0,66.0,8.0,NV_LA
Clips/PV_LA_4.wav,57.0,100.0,76.0,PV_LA
Clips/PV_LA_1.wav,55.0,12.0,-30.0,PV_LA
Clips/PV_HA_3.wav,56.0,17.0,49.0,PV_HA
Clips/NV_HA_6.wav,50.0,-9.0,-62.0,NV_HA
Clips/NV_LA_3.wav,50.0,-24.0,-49.0,NV_LA
