Song File,Song Duration,Valence Score,Arousal Score,Condition
Clips/NV_LA_6.wav,60.0,42.0,-31.0,NV_LA
Clips/NV_HA_4.wav,45.0,90.0,90.0,NV_HA
Clips/PV_LA_3.wav,60.0,46.0,-63.0,PV_LA
Clips/NV_HA_5.wav,56.0,38.0,27.0,NV_HA
Clips/NV_LA_3.wav,50.0,-53.0,-89.0,NV_LA
Clips/PV_LA_1.wav,55.0,17.0,-45.0,PV_LA
Clips/PV_HA_3.wav,56.0,58.0,45.0,PV_HA
Clips/NV_LA_1.wav,62.0,-62.0,-53.0,NV_LA
Clips/PV_LA_4.wav,57.0,23.0,22.0,PV_LA
Clips/NV_HA_2.wav,51.0,79.0,65.0,NV_HA
Clips/PV_HA_4.wav,48.0,100.0,99.0,PV_HA
Clips/NV_HA_6.wav,50.0,-35.0,-78.0,NV_HA
Clips/PV_HA_7.wav,54.0,67.0,46.0,PV_HA
Clips/PV_LA_5.wav,59.0,50.0,85.0,PV_LA
Clips/PV_LA_2.wav,50.0,-58.0,-91.0,PV_LA
Clips/PV_HA_6.wav,47.0,50.0,59.0,PV_HA
Clips/PV_HA_2.wav,44.0,36.0,58.0,PV_HA
Clips/NV_LA_2.wav,51.0,-45.0,-36.0,NV_LA
Clips/NV_LA_7.wav,57.0,-14.0,-85.0,NV_LA
Clips/PV_HA_1.wav,49.0,-21.0,31.0,PV_HA
Clips/NV_LA_4.wav,65.0,11.0,-50.0,NV_LA
Clips/NV_LA_5.wav,60.0,14.0,-80.0,NV_LA
Clips/NV_HA_1.wav,46.0,21.0,72.0,NV_HA
Clips/PV_LA_7.wav,54.0,50.0,80.0,PV_LA
Clips/PV_HA_8.wav,45.0,-45.0,16.0,PV_HA
Clips/PV_LA_6.wav,58.0,-28.0,-20.0,PV_LA
Clips/NV_HA_3.wav,48.0,64.0,73.0,NV_HA
Clips/NV_HA_7.wav,48.0,10.0,47.0,NV_HA
