Song File,Song Duration,Valence Score,Arousal Score,Condition
Clips/NV_HA_1.wav,46.0,24.0,45.0,NV_HA
Clips/NV_HA_7.wav,48.0,67.0,93.0,NV_HA
Clips/NV_LA_1.wav,62.0,94.0,100.0,NV_LA
Clips/NV_LA_7.wav,57.0,-100.0,-38.0,NV_LA
Clips/NV_HA_3.wav,48.0,0,0,NV_HA
Clips/PV_LA_2.wav,50.0,36.0,17.0,PV_LA
Clips/NV_HA_4.wav,45.0,71.0,89.0,NV_HA
Clips/NV_LA_5.wav,60.0,-37.0,-6.0,NV_LA
Clips/NV_LA_3.wav,50.0,-100.0,-79.0,NV_LA
Clips/NV_HA_2.wav,51.0,0,32.0,NV_HA
Clips/PV_HA_2.wav,44.0,0,0,PV_HA
Clips/NV_LA_2.wav,51.0,-55.0,-100.0,NV_LA
Clips/NV_HA_6.wav,50.0,-100.0,-100.0,NV_HA
Clips/NV_LA_4.wav,65.0,-100.0,-100.0,NV_LA
Clips/PV_LA_5.wav,59.0,12.0,36.0,PV_LA
Clips/PV_HA_4.wav,48.0,80.0,87.0,PV_HA
Clips/PV_LA_6.wav,58.0,-8.0,-100.0,PV_LA
Clips/PV_LA_4.wav,57.0,90.0,44.0,PV_LA
Clips/PV_HA_3.wav,56.0,-8.0,-20.0,PV_HA
Clips/PV_HA_7.wav,54.0,-100.0,-64.0,PV_HA
Clips/NV_HA_5.wav,56.0,-8.0,18.0,NV_HA
Clips/PV_LA_1.wav,55.0,43.0,98.0,PV_LA
Clips/PV_LA_7.wav,54.0,0,0,PV_LA
Clips/PV_HA_6.wav,47.0,-94.0,19.0,PV_HA
Clips/NV_LA_6.wav,60.0,26.0,9.0,NV_LA
Clips/PV_HA_1.wav,49.0,77.0,49.0,PV_HA
Clips/PV_HA_8.wav,45.0,-43.0,21.0,PV_HA
Clips/PV_LA_3.wav,60.0,-100.0,-100.0,PV_LA
