Song File,Song Duration,Valence Score,Arousal Score,Condition
Clips/NV_LA_3.wav,50.0,-27.0,-73.0,NV_LA
Clips/NV_HA_2.wav,51.0,83.0,35.0,NV_HA
Clips/PV_LA_2.wav,50.0,5.0,-21.0,PV_LA
Clips/PV_LA_5.wav,59.0,91.0,34.0,PV_LA
Clips/PV_LA_3.wav,60.0,11.0,25.0,PV_LA
Clips/NV_LA_6.wav,60.0,24.0,-89.0,NV_LA
Clips/NV_HA_6.wav,50.0,42.0,16.0,NV_HA
Clips/NV_LA_1.wav,62.0,-94.0,-91.0,NV_LA
Clips/PV_HA_4.wav,48.0,66.0,92.0,PV_HA
Clips/NV_HA_5.wav,56.0,-41.0,23.0,NV_HA
Clips/NV_LA_7.wav,57.0,-71.0,-28.0,NV_LA
Clips/PV_HA_7.wav,54.0,26.0,41.0,PV_HA
Clips/NV_LA_2.wav,51.0,18.0,15.0,NV_LA
Clips/PV_HA_1.wav,49.0,97.0,48.0,PV_HA
Clips/PV_HA_6.wav,47.0,80.0,71.0,PV_HA
Clips/NV_HA_7.wav,48.0,-100.0,9.0,NV_HA
Clips/NV_LA_4.wav,65.0,67.0,-15.0,NV_LA
Clips/NV_HA_4.wav,45.0,-99.0,36.0,NV_HA
Clips/PV_HA_8.wav,45.0,99.0,69.0,PV_HA
Clips/PV_LA_1.wav,55.0,34.0,19.0,PV_LA
Clips/PV_LA_4.wav,57.0,58.0,15.0,PV_LA
Clips/PV_HA_3.wav,56.0,57.0,25.0,PV_HA
Clips/NV_HA_3.wav,48.0,-100.0,-7.0,NV_HA
Clips/NV_HA_1.wav,46.0,-28.0,25.0,NV_HA
Clips/NV_LA_5.wav,60.0,42.0,16.0,NV_LA
Clips/PV_HA_2.wav,44.0,68.0,19.0,PV_HA
Clips/PV_LA_6.wav,58.0,34.0,-16.0,PV_LA
Clips/PV_LA_7.wav,54.0,25.0,-15.0,PV_LA
